公司名稱,職務,相關年資(Y),現職年資(Y),月底薪(萬),Bonus (月),每月平均工時,加班頻率,爽度(1~5) 5最爽,Loading(5最重)
InnoFusion,Senior Engineer,1,1,8.4,6,200,5,1,5
InnoFusion,Digital Designer Engineer,1,1,8.4,4,170,3,3,3
Innolux,Finance,2,1,4,2,180,3,3,4
Intel,Finance,16,15,7,2,138,1,5,1
ITRI,Analog IC Designer,7,7,8.2,1.5,160,1,4,2
Keysight Technologies,Account Manager,2,5,12,1.5,176,1,5,5
KGI Bank,Business Analyst Assistant Manager,2,1,5.3,4.5,180,3,3,4
KGI Bank,Sales,4,3,10.6,6,180,2,4,3
King's Town Bank,Bank Clerk,1,1,3,2,160,1,5,1
Kinmax,Sales Agent,2,2,4,2,180,3,2,3
KYEC,Sales,1.5,1.5,3.9,78000,192,1,2,4
Landbank,Assistant Officer,14,14,7,10000,160,4,3,3
Linde Lienhwa Industrial Gases,Sales,1,1,3.2,0,220,5,1,5
LINE,Finance Manager,6,4,7.5,2,150,3,4,3
ME,Video Producer,12,12,8,4,148,0,3,3
MIC,Data Analyst,4,4,4.5,3,165,1,4,3
Microchip,Digital Designer Engineer,3,3,7.5,0.53,160,1,3,1
MSi,Sales,8,6,5,8,174,1,4,2
MSi,Project Manager,2,0,3.5,2,160,1,3,3
MTK,Engineer,3,1,9,9,180,2,3,3
MTK,Engineer,3,2,9,9,200,3,3,4
MTK,Engineer,2.5,2.5,9,6,220,4,2,4
MTK,Engineer,1.7,1.7,9,12,160,1,4,2
MTK,Engineer,0.7,1,8.1,7,160,1,4,2
MTK,Engineer,5,1,9,8,180,2,3,3
MTK,Engineer,5.5,6,9,12,180,2,2,4
MTK,Engineer,2,2,14,2,160,1,5,2
MTK,IC Layout Engineer,17,10,14,12,200,4,2,4
MTK,Technician Assistant Manager,15,6,16,5,240,5,3,5
MTK,RFIC Design Engineer,15,15,20,20,180,1,5,2
MTK,Software and Firmware Engineer,4,4,10,6,240,5,2,5
MTK,Software and Firmware Engineer,3,1,9.1,9,220,4,2,4
MTK,Software Engineer,0.5,1,8,2,160,1,5,1
MTK,Firmware Engineer,10,7,12,10,240,4,3,3
MTK,Algorithm Engineer,2,2,8.6,8,160,1,4,2
MTK,Digital IC Engineer,0.4,1,8,2,160,1,3,2
MTK,Digital IC Design Engineer,4,4,7,2,240,5,5,1
MTK,Application Engineer,3.5,2,9,10,260,5,3,4
MTK,APR Engineer,0,1,8.1,3.75,160,1,5,1
MTK,Digital Designer,1,1,8.6,2,180,2,4,3
MTK,Digital Designer Engineer,11,11,17,20,160,2,3,4
MTK,Digital Designer Engineer,2,2,9.3,10,160,1,3,5
MTK,Digital Designer Engineer,2.5,2.5,10,16,10,1,4,3
MTK,Digital Designer Engineer,2,3,9.3,10,160,1,2,2
MTK,Digital Designer Engineer,1.5,1.5,8.6,6,180,3,3,4
MTK,Firware R&D Engineer,0.7,1,8.2,18,200,5,2,5
MTK,Engineer,1,1,8.6,4,200,3,3,3
MTK,Engineer,9,5,10,0,160,1,4,3
MTK,Finance Manager,0.5,1,8.2,2,160,1,4,4
MTK,Finance Manager,0.5,1,8.2,3.75,200,3,3,4
MTK,Finance Manager,0,1.8,8.7,5,190,3,3,3
MTK,R&D Engineer,3,3,8,16,200,3,2,4
MTK,R&D Engineer,0.5,1,8,2,220,4,2,3
MTK,R&D Engineer,0.5,1,8.2,3,180,2,5,3
MTK,R&D Engineer,0.5,1,8.1,3.7,180,3,3,3
MTK,R&D Engineer,2,2,9,10,200,3,3,3
MTK,R&D Engineer,4,2,9.8,3,220,4,1,5
MTK,R&D Engineer,7,7,16,30,200,5,2,5
MTK,Software Engineer,1,1,8.6,11,120,1,5,2
MTK,SQA Engineer,2,2,9,18,190,3,3,3
MTK,Software Engineer,1.5,1.5,8.3,10,280,5,1,5
MTK,Software Engineer,1.5,1.5,8.6,10,200,3,3,4
MTK,Software Engineer,1.5,1.5,8.6,8,43,1,4,2
MTK,Software Engineer,2,2,9,12,180,3,4,2
MTK,Software Engineer,6,4,14,7,180,3,3,3
MTK,Software Engineer,5,5,12,18,180,3,4,4
MTK,Software Engineer,5,5,12,18,180,3,4,4
MTK,Software Engineer,6,4,11,4,170,1,4,3
MTK,R&D Engineer,2,2,9,12,200,5,2,4
MTK,R&D Engineer,2.5,0,9,2,200,4,3,4
MTK,Systems Analyst,7,2,11,24,300,5,1,5
MTK,Technical Manager,15,1,15,10,180,1,2,4
MTK的子公司,Digital Designer Engineer,2,2,9,8,240,5,3,3
MYK,Systems Analyst,7,7,10.5,15,180,2,4,3
Nanshanlife,Specialist,3,3,7.5,6,50,5,3,3
Netlink,Application Engineer,3,2,7,0,200,4,1,4
Netlink,Software Engineer,6,3.5,7,0,180,3,4,3
Nogle,Product Designer,7,7,9,1,120,1,5,2
Nova,Assistant Manager,5,5,13,500,240,5,2,5
Novatek,Digital Designer Engineer,2.5,1.3,10,10,200,4,2,4
Novatek,R&D Engineer,2,2,9,5,180,2,4,2
Novatek,Engineer,3,3,10,1,240,2,1,1
Novatek,Engineer,2,1,8.5,1,240,5,1,5
Novatek,Chief Engineer,6,4,13,15,200,1,4,4
Novatek,Advanced Engineer,6,3,9,10,220,4,2,4
Novatek,Advanced Engineer,5,2,9,5,200,4,2,4
Novatek,Digital RD Engineer,8,8,12,25,220,2,3,4
Novatek,Design Verification Director,7,2,10.5,10,160,1,3,4
Novatek,Analog IC Engineer,3,3,9.4,8,200,3,2,4
Novatek,Digital Designer Engineer,5,5,10,28,220,3,4,4
Novatek,Digital Designer Engineer,7,5,11.5,17,220,3,2,4
Novatek,R&D Engineer,3,3,9.5,19,180,1,4,4
Novatek,R&D Engineer,5,5,10,14,180,2,4,3
Novatek,System Application Engineer,1,1,8.1,6,200,3,4,4
Novatek,System Application Engineer,1.75,1.75,8.4,12,240,3,2,5
Novatek,System Application Engineer,1,1,8,12,180,3,3,4
Novatek,System Application Engineer,13,10,13,1,200,4,1,5
Novatek,System Application Engineer,11,11,12,9,240,5,1,5
Nuvoton,Software Engineer,1.5,1,8.8,2,160,1,5,2
Nuvoton,R&D Engineer,2,2,8.5,6,180,2,1,2
NVIDIA,R&D Engineer,7,2,23,6,200,4,2,5
NVIDIA,Software Engineer,3,1,13,2,240,5,1,5
Phison,Firmware Engineer,6,1,12,10,160,1,3,3
Phison,Legal,12,7,6.7,2,160,1,5,2
Phison,Technician Supervisor,6,6,11,16,200,4,4,2
Phison,Advanced Engineer,6,1,10,5,240,5,3,2
Phison,Advanced Engineer,5,1,11,4,240,3,1,1
Phison,Assistant Manager,4,4,12,16,224,5,3,4
Phison,Senior Engineer,5,5,10,6,160,1,4,2
Phison,Verification R&D Engineer,3,3,10,7,160,1,5,1
Phison ,Engineer,3,2,9.5,0.5,240,3,3,3
Phison ,Engineer,2,2,9.3,3,200,3,2,4
Phison ,Engineer,4,2,10,60,200,4,3,4
Phison ,Engineer,3,1,10,1,180,3,5,3
Phison ,Engineer,2,2,9.2,6.5,170,2,4,4
Phison ,Engineer,1,1,9.2,5,180,4,3,3
Phison ,Digital Designer,2,2,9.6,4,180,3,3,3
Phison ,Finance Manager,1.5,1.5,9.5,7,160,1,4,3
Phison ,Finance Manager,1.5,1.5,9.3,4.5,190,4,3,3
Phison ,Finance Manager,2,2,10,8,160,4,3,4
Phison ,Project Manager,2,2,6.8,50,140,3,3,4
Phison ,R&D Engineer,6,2,10,6,160,3,3,3
Phison Electronics Corp,Firware R&D Engineer,0,0,72,0,240,5,1,5
PwC,Auditor,2,2,3.8,1,240,5,2,4
PwC,Auditor,1,1,3.8,0,160,1,2,3
PwC,Senior Associate,5,5,6.4,5,200,3,1,5
Q,UI/UX Designer,3,3,5,4,40,1,3,3
QCOM,EMB Software Engineer,2.5,2.5,25,2.5,140,1,5,2
QCOM,Software Engineer,6,3,13,1,160,1,5,3
QCOM,Software Engineer,2.9,2.9,10.8,2.8,220,4,4,4
QCOM,Senior Software Engineer,10,1,18,1,160,1,3,3
QUANTA,Legal,5,5,6.2,4,180,3,2,2
QUANTA,Sales Manager,0,2,5,6,50,3,3,3
QUANTA,IC Engineer,16,16,22,18,160,1,4,3
Raydium,R&D Engineer,0,0,8,10,180,2,3,3
Raydium,Digital Verification Engineer,1,1,8,8,180,4,3,3
Realtek,Industrial Engineer,4.5,1,5.5,10,168,1,4,2
Realtek,Sales Coordinator,6,3,7,20,200,5,2,4
Realtek,Senior Engineer,7,7,12,28,240,1,3,5
Realtek,Firware System Designer,2,1,8,20,240,4,3,3
Realtek,Engineer,12,1,11,5,240,5,3,4
Realtek,Engineer,3,3,5,12,180,3,3,3
Realtek,Senior Engineer,12,12,10,18,180,4,4,4
Realtek,Engineer,5,5,10,21,200,4,2,4
Realtek,Engineer,2,2,8.5,13,240,5,1,5
Realtek,Engineer,5,5,10,19,160,1,3,3
Realtek,Engineer,3,2,9.4,20,160,1,3,3
Realtek,Engineer,1.5,1.5,9.2,13,200,3,3,4
Realtek,Engineer,2,2,8,24,160,1,5,3
Realtek,System Designer,7,2,8.8,18,200,3,3,3
Realtek,Engineer,2,2,8.7,20,240,5,5,5
Realtek,Senior Engineer,4.5,4.5,11,26,120,1,5,3
Realtek,Senior Engineer,7,7,11,22,120,1,5,2
Realtek,Senior Engineer,5,2,9,8,180,2,3,3
Realtek,Finance Manager,1,1,8,10,160,2,4,2
Realtek,Sales,7,5,5.6,0,160,1,2,5
Realtek,System Designer,2,2,9,22,160,1,4,4
Realtek,System Designer,4,4,8,14,140,1,4,3
Realtek,System Designer,0,0,8,4,180,3,3,3
Renesas,Testing Engineer,8,1,12,1,160,1,3,3
Richtek,Senior Engineer,0,3,8,10,200,3,2,4
Richtek,Application Engineer,15,9,12.5,25,200,3,3,3
Richtek,Application Engineer,7,2,9.7,17,200,4,3,3
Richtek,Chief Engineer,7,3,12,15,280,5,1,5
Richtek,IC Layout Engineer,13,9,10,14,180,2,3,3
Richwave,Legal,1,1,5,5,160,3,3,3
SAS,Legal,4,2,5.6,0,45,1,3,3
SEO類型數據科學家,Data Scientist,5,5,5,1,40,1,3,5
Shin Kong Life Insurance,Analyst,6,2,6,4,176,5,5,3
Shin Kong Life Insurance,Assistant Manager,10,5,10,3,170,1,5,2
Silicon Motion Technology,Finance Manager,0.5,1,9,7,220,2,3,4
Silicon Motion Technology,Finance Manager,0.5,1,9.1,6,140,1,4,3
Sinyi Realty,Business Analyst,1.8,1.8,5.4,2,160,1,3,2
SMI,Finance Manager,2,2,10.5,14,240,4,2,4
SMI,Finance Manager,6,3,10,7,160,1,4,4
SMI,Firmware Engineer,3,3,10,9.2,240,5,3,3
sogo,Legal,1,1,4,2,160,1,4,2
SUNPLUS,Senior Engineer,5,5,8.5,1,180,2,3,3
SUNPLUS,Finance Manager,2,2,7.2,2,200,3,2,4
Synnex,Finance,4,1,5.6,3,176,1,3,3
Synopsys,Staff Application Engineer,13,2,29,2,300,5,1,5
T,Senior Manager,5,1,7.3,3,160,2,4,2
TAILEE,Finance Director,6,2,6.5,3,160,2,3,2
Transcend,Sales,5,2,6,5,176,1,3,1
TSMC,Data Analyst,1,1,6,6,200,5,2,4
TSMC,Engineer,19,6,7,7,90,2,2,2
TSMC,Legal,5,5,8,20,200,5,1,5
TSMC,Accounting,2,2,6,12,200,3,3,3
TSMC的子公司,Legal,6,2,4,1,180,3,2,5
TWSE,Technician,3,3,4,0,160,1,1,5
UMC,Legal,2,4,5.5,4,180,4,3,2
Universal Global,Advanced Engineer,10,4,5.8,0,160,1,4,3
ViewSonic,UI/UX Designer,7,10,8,2,160,1,4,3
Wistron,Sales,5,1,5,1,200,4,2,4
Wistron ITS,QA Engineer,2,1,6,0,176,2,3,3
Xilinx,Planner,12,9,16,0,160,3,4,3
Yang Ming Marine Transport Corp,Legal,0,1,4.3,0,160,1,4,2
ME,VTuber project production,0,1,3.9,0,104,0,5,1
QUANTA,Software Engineer,5,1,4.5,5,200,3,3,5
ME,Sustomer service,0,1,3.6,1,230,0,5,0
MIC,Sales,6,2,4.2,2,180,2,2,4
